Employee_ID,Department_ID,Department,Employee_Name,Job_Title,Salary,Age,Location,Joining_Year
E0001,D002,Finance,Employee_001,Analyst,127196,38,Mumbai,2018
E0002,D003,IT,Employee_002,Associate,118696,55,Pune,2024
E0003,D007,Legal,Employee_003,Analyst,33905,26,Mumbai,2018
E0004,D009,Support,Employee_004,Analyst,103563,33,Hyderabad,2021
E0005,D004,Marketing,Employee_005,Engineer,107236,38,Pune,2017
E0006,D007,Legal,Employee_006,Coordinator,66421,30,Mumbai,2020
E0007,D002,Finance,Employee_007,Associate,79797,27,Bengaluru,2020
E0008,D010,Administration,Employee_008,Senior Analyst,135791,23,Delhi,2023
E0009,D002,Finance,Employee_009,Specialist,40328,56,Bengaluru,2025
E0010,D010,Administration,Employee_010,Coordinator,105674,33,Pune,2015
E0011,D004,Marketing,Employee_011,Senior Analyst,40458,35,Pune,2021
E0012,D005,Sales,Employee_012,Engineer,113320,44,Mumbai,2020
E0013,D006,Operations,Employee_013,Manager,117841,38,Pune,2024
E0014,D003,IT,Employee_014,Manager,51417,50,Delhi,2019
E0015,D009,Support,Employee_015,Manager,119733,41,Pune,2018
E0016,D001,HR,Employee_016,Coordinator,82581,38,Pune,2018
E0017,D010,Administration,Employee_017,Coordinator,57869,52,Delhi,2025
E0018,D008,Engineering,Employee_018,Executive,64718,29,Mumbai,2026
E0019,D009,Support,Employee_019,Senior Analyst,127912,58,Delhi,2024
E0020,D007,Legal,Employee_020,Coordinator,58746,29,Hyderabad,2022
E0021,D002,Finance,Employee_021,Analyst,142866,28,Mumbai,2025
E0022,D003,IT,Employee_022,Specialist,108172,25,Delhi,2021
E0023,D010,Administration,Employee_023,Engineer,99352,37,Hyderabad,2015
E0024,D002,Finance,Employee_024,Senior Analyst,130741,42,Pune,2019
E0025,D007,Legal,Employee_025,Executive,89470,21,Bengaluru,2023
E0026,D003,IT,Employee_026,Associate,144100,40,Hyderabad,2024
E0027,D004,Marketing,Employee_027,Executive,79009,31,Hyderabad,2023
E0028,D001,HR,Employee_028,Coordinator,94042,22,Pune,2020
E0029,D005,Sales,Employee_029,Manager,37592,36,Hyderabad,2016
E0030,D002,Finance,Employee_030,Engineer,136957,25,Hyderabad,2017
E0031,D003,IT,Employee_031,Engineer,102063,31,Bengaluru,2023
E0032,D010,Administration,Employee_032,Specialist,57760,55,Mumbai,2026
E0033,D005,Sales,Employee_033,Specialist,118039,44,Delhi,2023
E0034,D008,Engineering,Employee_034,Associate,62493,35,Pune,2020
E0035,D001,HR,Employee_035,Manager,107128,35,Pune,2016
E0036,D001,HR,Employee_036,Manager,38834,23,Bengaluru,2016
E0037,D009,Support,Employee_037,Manager,66500,52,Mumbai,2023
E0038,D003,IT,Employee_038,Engineer,61850,51,Delhi,2018
E0039,D002,Finance,Employee_039,Associate,116374,48,Bengaluru,2021
E0040,D007,Legal,Employee_040,Engineer,143224,24,Pune,2015
E0041,D007,Legal,Employee_041,Coordinator,134935,27,Mumbai,2018
E0042,D004,Marketing,Employee_042,Engineer,48373,48,Mumbai,2019
E0043,D008,Engineering,Employee_043,Manager,144620,25,Delhi,2023
E0044,D002,Finance,Employee_044,Analyst,115477,55,Pune,2016
E0045,D004,Marketing,Employee_045,Executive,83269,52,Delhi,2018
E0046,D007,Legal,Employee_046,Analyst,51579,45,Pune,2021
E0047,D005,Sales,Employee_047,Engineer,67388,48,Hyderabad,2025
E0048,D008,Engineering,Employee_048,Executive,54890,39,Mumbai,2015
E0049,D010,Administration,Employee_049,Analyst,128038,41,Pune,2015
E0050,D010,Administration,Employee_050,Engineer,95909,54,Mumbai,2015
E0051,D009,Support,Employee_051,Associate,141587,32,Pune,2024
E0052,D002,Finance,Employee_052,Manager,82923,28,Hyderabad,2018
E0053,D010,Administration,Employee_053,Analyst,111183,26,Delhi,2025
E0054,D010,Administration,Employee_054,Coordinator,64179,34,Bengaluru,2018
E0055,D005,Sales,Employee_055,Specialist,47154,40,Delhi,2020
E0056,D002,Finance,Employee_056,Analyst,90068,60,Hyderabad,2016
E0057,D002,Finance,Employee_057,Manager,96307,37,Mumbai,2020
E0058,D002,Finance,Employee_058,Manager,78434,39,Mumbai,2022
E0059,D009,Support,Employee_059,Senior Analyst,110173,54,Pune,2025
E0060,D009,Support,Employee_060,Senior Analyst,116951,27,Mumbai,2019
E0061,D002,Finance,Employee_061,Associate,127310,56,Mumbai,2019
E0062,D005,Sales,Employee_062,Manager,124058,42,Mumbai,2025
E0063,D005,Sales,Employee_063,Engineer,62914,24,Pune,2025
E0064,D007,Legal,Employee_064,Senior Analyst,35778,21,Bengaluru,2017
E0065,D005,Sales,Employee_065,Executive,127154,49,Hyderabad,2026
E0066,D007,Legal,Employee_066,Analyst,44663,25,Mumbai,2023
E0067,D001,HR,Employee_067,Coordinator,106350,56,Mumbai,2021
E0068,D003,IT,Employee_068,Analyst,70404,44,Pune,2020
E0069,D004,Marketing,Employee_069,Manager,117416,27,Bengaluru,2023
E0070,D007,Legal,Employee_070,Executive,61029,31,Mumbai,2021
E0071,D001,HR,Employee_071,Executive,126542,42,Delhi,2025
E0072,D004,Marketing,Employee_072,Senior Analyst,50866,27,Delhi,2015
E0073,D008,Engineering,Employee_073,Manager,56158,50,Bengaluru,2019
E0074,D004,Marketing,Employee_074,Manager,33101,33,Delhi,2020
E0075,D005,Sales,Employee_075,Associate,131361,38,Bengaluru,2025
E0076,D009,Support,Employee_076,Specialist,119065,55,Bengaluru,2015
E0077,D002,Finance,Employee_077,Senior Analyst,53405,58,Bengaluru,2015
E0078,D002,Finance,Employee_078,Specialist,75309,41,Delhi,2024
E0079,D009,Support,Employee_079,Associate,80488,57,Mumbai,2019
E0080,D001,HR,Employee_080,Specialist,30221,54,Hyderabad,2025
E0081,D004,Marketing,Employee_081,Coordinator,86531,25,Bengaluru,2024
E0082,D006,Operations,Employee_082,Associate,124339,40,Hyderabad,2019
E0083,D007,Legal,Employee_083,Coordinator,82743,39,Hyderabad,2017
E0084,D004,Marketing,Employee_084,Specialist,117153,45,Mumbai,2024
E0085,D010,Administration,Employee_085,Senior Analyst,83225,56,Pune,2019
E0086,D005,Sales,Employee_086,Manager,86346,58,Hyderabad,2025
E0087,D006,Operations,Employee_087,Engineer,87905,49,Mumbai,2023
E0088,D008,Engineering,Employee_088,Executive,116356,26,Bengaluru,2023
E0089,D010,Administration,Employee_089,Coordinator,42240,36,Bengaluru,2018
E0090,D004,Marketing,Employee_090,Executive,33201,23,Mumbai,2022
E0091,D010,Administration,Employee_091,Associate,89692,47,Hyderabad,2018
